,total_loss,reconstruction_loss,proj_loss,pca_loss,accuracy,auc score,f1 score
0,58706.6015625,89.2270278930664,29306.34765625,29311.029296875,0.6676602839387662,0.617320458888235,0.26911111111111113
1,58379.8984375,79.68278503417969,29128.19140625,29172.0234375,0.6233011670792704,0.5336305135973612,0.17155555555555554
2,58053.53515625,68.6517562866211,28951.078125,29033.8046875,0.614409134542515,0.549531412338252,0.152
3,57730.640625,59.22903823852539,28775.02734375,28896.3828125,0.6178446925680796,0.566690947928246,0.15955555555555556
4,57411.3203125,51.523616790771484,28600.03125,28759.767578125,0.6384580407214672,0.5730263155982767,0.2048888888888889
5,57096.5625,46.47052001953125,28426.09375,28623.998046875,0.6386601323700298,0.5391406089932214,0.2053333333333333
6,56784.8046875,42.526756286621094,28253.203125,28489.072265625,0.633506795331683,0.5247450322224402,0.194
7,56476.265625,39.88275909423828,28081.37109375,28355.009765625,0.6300712373061184,0.502594905439671,0.18644444444444444
8,56170.1796875,37.77156448364258,27910.591796875,28221.81640625,0.6237053503763957,0.47219321839330997,0.17244444444444446
9,55866.3125,35.929664611816406,27740.865234375,28089.515625,0.6194614257565806,0.4435476434389009,0.16311111111111112
10,55564.7265625,34.43603515625,27572.19140625,27958.1015625,0.6177436467437983,0.4209529123709468,0.15933333333333333
11,55265.375,33.21708679199219,27404.57421875,27827.5859375,0.6155206386096095,0.4068089685186397,0.15444444444444444
12,54968.28515625,32.29294204711914,27238.009765625,27697.982421875,0.6147122720153589,0.3985424631458111,0.15266666666666667
13,54673.04296875,31.256986618041992,27072.501953125,27569.283203125,0.6140049512453898,0.39073566700814466,0.1511111111111111
14,54379.8359375,30.281137466430664,26908.05078125,27441.50390625,0.614409134542515,0.3903602664981074,0.152
15,54088.7421875,29.449047088623047,26744.650390625,27314.642578125,0.6126913555297328,0.38695416203491795,0.14822222222222223
16,53799.640625,28.640010833740234,26582.306640625,27188.69140625,0.613095538826858,0.38430423505307443,0.1491111111111111
17,53512.40625,27.724056243896484,26421.015625,27063.66796875,0.612792401354014,0.38317761939013495,0.14844444444444443
18,53227.2265625,26.890430450439453,26260.775390625,26939.560546875,0.6106704390441065,0.38145840144728527,0.14377777777777778
19,52944.1875,26.231042861938477,26101.58984375,26816.369140625,0.6081442934370737,0.3755370140296577,0.13822222222222222
20,52663.09375,25.540822982788086,25943.455078125,26694.095703125,0.6062244227757287,0.3699266548965758,0.134
21,52383.78515625,24.685176849365234,25786.3671875,26572.732421875,0.6048097812357904,0.3657133546938686,0.1308888888888889
22,52106.6171875,24.007991790771484,25630.328125,26452.279296875,0.6046076895872278,0.35957320342640425,0.13044444444444445
23,51831.234375,23.17464828491211,25475.333984375,26332.728515625,0.6055171020057596,0.35858257590618803,0.13244444444444445
24,51557.8984375,22.43233299255371,25321.388671875,26214.080078125,0.6050118728843531,0.3578697007345409,0.13133333333333333
25,51286.59375,21.785526275634766,25168.482421875,26096.32421875,0.6051129187086344,0.3605724187536782,0.13155555555555556
26,51017.078125,21.006546020507812,25016.61328125,25979.45703125,0.6059212853028848,0.36483205824015347,0.13333333333333333
27,50749.41796875,20.165189743041992,24865.779296875,25863.47265625,0.608245339261355,0.3670501391340991,0.13844444444444445
28,50483.7265625,19.384801864624023,24715.982421875,25748.361328125,0.608245339261355,0.36522392234646206,0.13844444444444445
29,50219.76953125,18.43955421447754,24567.212890625,25634.1171875,0.6087505683827615,0.36659899590953016,0.13955555555555554
30,49957.90625,17.69664192199707,24419.470703125,25520.736328125,0.6119840347597636,0.3710507058421791,0.14666666666666667
31,49697.8828125,16.9257755279541,24272.75390625,25408.203125,0.6164300510281413,0.3884606537486286,0.15644444444444444
32,49439.5390625,15.971031188964844,24127.0546875,25296.515625,0.6146112261910777,0.37404709489454147,0.15244444444444444
33,49183.00390625,14.969164848327637,23982.373046875,25185.662109375,0.6159248219067347,0.3801477146406853,0.15533333333333332
34,48928.1875,13.853494644165039,23838.703125,25075.6328125,0.6202697923508311,0.39497635810138265,0.1648888888888889
35,48675.17578125,12.710183143615723,23696.04296875,24966.421875,0.6200677007022685,0.4025825323132588,0.16444444444444445
36,48424.2265625,11.816560745239258,23554.38671875,24858.021484375,0.6429040569898449,0.43505468732971514,0.21466666666666664
37,48176.01953125,11.87343978881836,23413.73046875,24750.416015625,0.6261304501591471,0.44120665228100003,0.17777777777777778
38,47928.06640625,10.3962984085083,23274.0703125,24643.599609375,0.6360329409387158,0.45216782551203527,0.19955555555555557
39,47682.3515625,9.39124870300293,23135.400390625,24537.5625,0.643914515232658,0.46117381953980396,0.21688888888888888
40,47438.8671875,8.852622032165527,22997.71484375,24432.298828125,0.6689738796544232,0.5545325602853883,0.272
41,47197.2578125,8.451414108276367,22861.009765625,24327.794921875,0.6788763704339918,0.5587589819597929,0.2937777777777778
42,46957.77734375,8.452813148498535,22725.28125,24224.04296875,0.6792805537311171,0.5595534703604409,0.2946666666666667
43,46720.109375,8.557066917419434,22590.5234375,24121.03125,0.691911281766281,0.579109440048824,0.3224444444444444
44,46484.1328125,8.6497163772583,22456.728515625,24018.751953125,0.6862527156065276,0.5705081119175803,0.31
45,46249.7421875,8.651945114135742,22323.89453125,23917.197265625,0.6789774162582731,0.5554542455880324,0.294
46,46017.0,8.62645435333252,22192.015625,23816.35546875,0.6844338907694639,0.5691505409155968,0.306
47,45785.85546875,8.55433464050293,22061.083984375,23716.216796875,0.6657404132774213,0.5330746383603246,0.2648888888888889
48,45556.3671875,8.497137069702148,21931.09375,23616.77734375,0.6689738796544232,0.541604495884101,0.272
49,45328.4609375,8.399174690246582,21802.0390625,23518.025390625,0.6735209417470823,0.5466894149102349,0.282
50,45102.171875,8.30317211151123,21673.916015625,23419.953125,0.6676602839387662,0.5364199597491953,0.26911111111111113
51,44877.4609375,8.19669246673584,21546.712890625,23322.55078125,0.6731167584499571,0.5478333006386364,0.2811111111111111
52,44654.32421875,8.086081504821777,21420.427734375,23225.810546875,0.6736219875713636,0.5480983747102887,0.2822222222222222
53,44432.72265625,7.940490245819092,21295.05859375,23129.72265625,0.6764512706512403,0.5527417627527481,0.28844444444444445
54,44212.671875,7.800780296325684,21170.587890625,23034.283203125,0.6749355832870206,0.5512746717815703,0.2851111111111111
55,43994.15625,7.65374755859375,21047.01953125,22939.48046875,0.6762491790026777,0.5536553470360441,0.288
56,43777.15234375,7.503856182098389,20924.33984375,22845.30859375,0.6957510230889709,0.58688083146247,0.3308888888888889
57,43561.63671875,7.3306660652160645,20802.548828125,22751.7578125,0.6799878745010862,0.559474240211571,0.2962222222222222
58,43347.6484375,7.188869476318359,20681.634765625,22658.822265625,0.6694791087758298,0.5416216932946809,0.27311111111111114
59,43135.09765625,7.01080846786499,20561.58984375,22566.49609375,0.6636184509675138,0.5310330507058422,0.26022222222222224
60,42924.00390625,6.822947025299072,20442.4140625,22474.767578125,0.6731167584499571,0.5466942682563555,0.2811111111111111
61,42714.37109375,6.643574237823486,20324.095703125,22383.630859375,0.6768554539483655,0.5527165442431904,0.28933333333333333
62,42506.1640625,6.45341157913208,20206.630859375,22293.08203125,0.6677613297630476,0.5345412134818399,0.2693333333333333
63,42299.390625,6.268205642700195,20090.009765625,22203.111328125,0.6741272166927702,0.5509900680776245,0.2833333333333333
64,42094.03125,6.089641571044922,19974.23046875,22113.7109375,0.6891830445106856,0.5770016420003342,0.3164444444444444
65,41890.09375,5.9296770095825195,19859.28125,22024.880859375,0.6806951952710554,0.5619408225985745,0.29777777777777775
66,41687.4921875,5.727499961853027,19745.16015625,21936.607421875,0.6822108826352751,0.5643852743085072,0.3011111111111111
67,41486.359375,5.619442939758301,19631.85546875,21848.88671875,0.7002980851816298,0.600312713877809,0.3408888888888889
68,41286.640625,5.5622029304504395,19519.36328125,21761.712890625,0.6968625271560652,0.5980989414183686,0.3333333333333333
69,41088.1875,5.433852672576904,19407.677734375,21675.078125,0.6449249734754712,0.5171305608230345,0.21911111111111112
70,40891.515625,5.7442946434021,19296.7890625,21588.98046875,0.6496741272166928,0.537832218080894,0.22955555555555557
71,40695.76171875,5.6529154777526855,19186.69921875,21503.41015625,0.6421967362198757,0.5393612328080386,0.21311111111111108
72,40501.1640625,5.409893035888672,19077.388671875,21418.365234375,0.6104683473955439,0.4912453337402007,0.14333333333333334
73,40308.1328125,5.429385185241699,18968.86328125,21333.837890625,0.6313848330217754,0.5090838001409504,0.18933333333333333
74,40116.22265625,5.291408538818359,18861.109375,21249.822265625,0.6247158086192088,0.49684820942043206,0.17466666666666666
75,39925.6875,5.251184940338135,18754.12109375,21166.3125,0.6305764664275249,0.5073414852110988,0.18755555555555556
76,39736.3125,5.111847400665283,18647.89453125,21083.306640625,0.608548476734199,0.46693574402231963,0.1391111111111111
77,39548.2890625,5.072415828704834,18542.419921875,21000.794921875,0.6087505683827615,0.4741578064038013,0.13955555555555554
78,39361.4375,4.969418048858643,18437.693359375,20918.77734375,0.6126913555297328,0.47201256929459373,0.14822222222222223
79,39175.66015625,4.702486038208008,18333.708984375,20837.248046875,0.6052139645329156,0.49257605149778044,0.13177777777777777
80,38991.15625,4.4977240562438965,18230.45703125,20756.201171875,0.6087505683827615,0.49464137550222687,0.13955555555555554
81,38807.859375,4.293437957763672,18127.93359375,20675.630859375,0.6080432476127924,0.48730220071637714,0.138
82,38625.7265625,4.064365386962891,18026.12890625,20595.53515625,0.6081442934370737,0.50293469052653,0.13822222222222222
83,38444.83984375,3.886122941970825,17925.04296875,20515.91015625,0.6142070428939524,0.4758754913286398,0.15155555555555555
84,38265.12109375,3.7086868286132812,17824.6640625,20436.748046875,0.612792401354014,0.4963671396499488,0.14844444444444443
85,38086.62890625,3.5922133922576904,17724.98828125,20358.048828125,0.6131965846511392,0.4957207872883018,0.14933333333333335
86,37909.2890625,3.472395896911621,17626.009765625,20279.806640625,0.6115798514626383,0.4902109025915996,0.14577777777777778
87,37733.10546875,3.372000217437744,17527.720703125,20202.013671875,0.6152175011367655,0.49067158540218114,0.1537777777777778
88,37558.3671875,3.5813753604888916,17430.1171875,20124.669921875,0.6429040569898449,0.49449299970211497,0.21466666666666664
89,37384.24609375,3.2786409854888916,17333.1953125,20047.771484375,0.6120850805840449,0.49257595704643375,0.1468888888888889
90,37211.64453125,3.386270523071289,17236.943359375,19971.314453125,0.6301722831303996,0.465937749297064,0.18666666666666668
91,37039.9375,3.284095287322998,17141.361328125,19895.291015625,0.6229980296064265,0.4801159063333261,0.1708888888888889
92,36869.453125,3.316720962524414,17046.4375,19819.701171875,0.6319911079674633,0.477547541722066,0.19066666666666668
93,36699.828125,3.1150333881378174,16952.171875,19744.541015625,0.6235032587278331,0.49808818849582603,0.172
94,36531.6484375,3.2897796630859375,16858.556640625,19669.8046875,0.662709038548982,0.5251072313404099,0.25822222222222224
95,36364.3671875,3.287489414215088,16765.5859375,19595.4921875,0.6721063002071439,0.549973030507785,0.2788888888888889
96,36198.20703125,3.3577868938446045,16673.25390625,19521.595703125,0.639367453139999,0.5101831411611704,0.2068888888888889
97,36033.390625,3.71641206741333,16581.5546875,19448.1171875,0.6985803061688476,0.5885290074616565,0.3371111111111111
98,35869.66015625,4.133107662200928,16490.482421875,19375.044921875,0.654625372606477,0.5390947710281393,0.24044444444444443
99,35706.578125,4.161129474639893,16400.03515625,19302.384765625,0.6807962410953368,0.5690164635962714,0.298
100,35544.7421875,4.410332679748535,16310.205078125,19230.125,0.6820087909867125,0.5764291869192151,0.3006666666666667
101,35383.546875,4.2943243980407715,16220.9873046875,19158.267578125,0.691911281766281,0.5895941716253623,0.3224444444444444
102,35223.5625,4.372723579406738,16132.3759765625,19086.8125,0.6835244783509321,0.5809871110239253,0.304
103,35065.03125,4.920938014984131,16044.365234375,19015.74609375,0.7011064517758804,0.6119212130459106,0.3426666666666667
104,34906.640625,4.610321998596191,15956.9521484375,18945.076171875,0.6671550548173597,0.5561282068048562,0.268
105,34749.58203125,4.657754421234131,15870.1298828125,18874.79296875,0.664022634264639,0.5682741196044668,0.2611111111111111
106,34593.4375,4.647691249847412,15783.892578125,18804.896484375,0.6955489314404082,0.6014540494198508,0.33044444444444443
107,34438.2734375,4.656407833099365,15698.236328125,18735.3828125,0.6499772646895368,0.5404313810966528,0.23022222222222222
108,34284.01953125,4.615018844604492,15613.1572265625,18666.248046875,0.6510887687566311,0.5234355369559057,0.23266666666666666
109,34130.73046875,4.591246604919434,15528.6474609375,18597.4921875,0.6569494265649473,0.5529533773621919,0.24555555555555555
110,33978.5625,4.746235370635986,15444.705078125,18529.109375,0.6623048552518567,0.557224380072219,0.25733333333333336
111,33827.0703125,4.648165702819824,15361.322265625,18461.1015625,0.643611377759814,0.5272327135871895,0.21622222222222226
112,33677.125,5.170356750488281,15278.498046875,18393.458984375,0.6976708937503158,0.6004130793318657,0.33511111111111114
113,33527.3828125,4.972761631011963,15196.2255859375,18326.18359375,0.689284090334967,0.5945574591134651,0.31666666666666665
114,33378.55859375,4.785201549530029,15114.4990234375,18259.2734375,0.694841610670439,0.5890409773534733,0.3288888888888889
115,33230.578125,4.539606094360352,15033.3154296875,18192.720703125,0.6174405092709544,0.5138498150933252,0.15866666666666668
116,33084.20703125,5.007503509521484,14952.6689453125,18126.529296875,0.7155560046481079,0.6223081220892638,0.37444444444444447
117,32938.3046875,5.055892467498779,14872.556640625,18060.693359375,0.6945384731975951,0.6118913954823194,0.32822222222222225
118,32794.25,6.0692667961120605,14792.9736328125,17995.208984375,0.7183852877279846,0.6247742830779515,0.38066666666666665
119,32649.580078125,5.590687274932861,14713.9150390625,17930.07421875,0.713332996513919,0.6157557342865654,0.3695555555555556
120,32506.4140625,5.750019550323486,14635.3759765625,17865.2890625,0.6633153134946699,0.5505447009161781,0.25955555555555554
121,32365.162109375,6.9602131843566895,14557.3525390625,17800.849609375,0.7202041125650482,0.6249131919469328,0.38466666666666666
122,32223.8125,7.216817378997803,14479.8427734375,17736.751953125,0.7158591421209518,0.6261276255657999,0.3751111111111111
123,32084.6328125,8.798562049865723,14402.8388671875,17672.99609375,0.7279846410347093,0.6317486213736132,0.4017777777777778
124,31943.1640625,7.248397350311279,14326.3388671875,17609.576171875,0.7091901177183852,0.6030844322384243,0.36044444444444446
125,31803.68359375,6.852731227874756,14250.3359375,17546.49609375,0.712019400798262,0.6101670045118682,0.36666666666666664
126,31667.345703125,8.770553588867188,14174.8291015625,17483.74609375,0.7228313039963623,0.6235051330674165,0.3904444444444444
127,31528.296875,7.155539512634277,14099.8125,17421.328125,0.685747486485121,0.5801632409889783,0.3088888888888889
128,31391.791015625,7.269959449768066,14025.283203125,17359.23828125,0.6384580407214672,0.5103111082049159,0.2048888888888889
129,31256.06640625,7.352135181427002,13951.236328125,17297.4765625,0.6663466882231092,0.5604156513146901,0.26622222222222225
130,31120.94921875,7.242526531219482,13877.6669921875,17236.041015625,0.6209771131208003,0.46727748352550547,0.16644444444444445
131,30986.447265625,6.949003219604492,13804.572265625,17174.92578125,0.6174405092709544,0.4560413478933717,0.15866666666666668
132,30852.89453125,6.8152265548706055,13731.9501953125,17114.12890625,0.6166321426767039,0.4511555686334343,0.15688888888888888
133,30719.96484375,6.516942977905273,13659.794921875,17053.65234375,0.6133986762997019,0.45021703466364427,0.1497777777777778
134,30587.755859375,6.163444519042969,13588.1005859375,16993.4921875,0.6148133178396403,0.48227240494925055,0.15288888888888888
135,30456.646484375,6.135833740234375,13516.8662109375,16933.64453125,0.6441166068812206,0.5189583760180765,0.21733333333333332
136,30325.99609375,5.798388957977295,13446.087890625,16874.109375,0.6214823422422069,0.4811577264834311,0.16755555555555557
137,30196.201171875,5.559735298156738,13375.7607421875,16814.880859375,0.6201687465265497,0.4909983144067366,0.16466666666666666
138,30067.357421875,5.513840675354004,13305.8828125,16755.9609375,0.6465417066639721,0.4994082695786744,0.22266666666666668
139,29939.26171875,5.464153289794922,13236.44921875,16697.34765625,0.6492699439195675,0.5155927039967451,0.22866666666666666
140,29812.0390625,5.543407917022705,13167.4560546875,16639.0390625,0.6229980296064265,0.4566268299948415,0.1708888888888889
141,29685.494140625,5.561831474304199,13098.9013671875,16581.03125,0.6508866771080685,0.4833453431853353,0.23222222222222222
142,29559.32421875,5.220414638519287,13030.7802734375,16523.322265625,0.6408831405042187,0.4813164047458169,0.21022222222222223
143,29434.318359375,5.3202362060546875,12963.08984375,16465.908203125,0.6452281109483151,0.49220671040490566,0.21977777777777777
144,29309.638671875,5.020424842834473,12895.8271484375,16408.791015625,0.664325771737483,0.5397505394624992,0.2617777777777778
145,29186.34375,5.384426116943359,12828.9892578125,16351.96875,0.6543222351336331,0.5103184754099551,0.23977777777777778
146,29063.734375,5.727779865264893,12762.5712890625,16295.4345703125,0.6580609306320416,0.5208708632126535,0.248
147,28941.060546875,5.297642230987549,12696.5693359375,16239.193359375,0.6480573940281917,0.5084156876421311,0.226
148,28819.470703125,5.250524520874023,12630.982421875,16183.2373046875,0.6459354317182843,0.4910288730501246,0.22133333333333333
149,28698.890625,5.516305923461914,12565.806640625,16127.568359375,0.6475521649067852,0.49781887864455054,0.22488888888888886
150,28578.33203125,5.108601093292236,12501.0390625,16072.18359375,0.6398726822614056,0.49545518283601064,0.208
